NCT number,label_M,IPD Description,label_IPD
NCT05647720,0,8211ac128cd5bf078701d719042a407ff455123071350899bf7935935b6f726a,0
NCT04207151,2,37f9c0b628a954d52295ffe544674d4b3e777abcbb5591c7390a4389583ff01b,2
NCT04457141,1,86c0b96542605081fedc8644edd2c213fb19f26e1d462ba5bd9e3487030b9e2f,2
NCT03922022,0,266c852a8ca15e89671e2baaf5ec529d79284713cfdb3c300ba42c8a11f1e7cc,1
NCT01750918,0,206dd3fdcd1ca8cb08f28dd6688b049b36bf76694a3d0dd1b642f44682a12f2b,0
NCT04501289,0,f3b3a8f3269c26897018b484b7b9a80babe6719c72610dfce33b20004e3bef4c,0
NCT03082248,0,b0c47fdf1f6f7fbf27e23da40627be0e5841c18478a8dd8808e0c54099e330b4,1
NCT02734875,2,b74ada3a609e0167ec9b317ac4c8db6533b20a81992f35251aed8f3728fd6631,2
NCT02198768,1,db64e08c67aea4acf49bde2d9c5c01c07a5883bb20bff656269f13c345bc9d55,1
NCT05084885,2,c105933d17ebd63ca85801b8752ffcf28c9f3710f87eaa960d73a0592077752f,2
NCT01967329,2,7afeb2e85f0b2da09ac4616da1f90604f49d839ddf2e8c14c0d1a13940cb08de,0
NCT03771300,0,134415f1765f202660fcd78956df12a898d77ed467eac8bcee553fdfbeb42209,0
NCT03027947,0,46d686405df0e3d47a2af25b8e971edc8c984f2625712f3e19a1d01968eecbbb,0
NCT05087615,0,9e08a4b59fa4f6b020cef7ee44ef3832808a1cbb2e8a877b50164d7c622e2b07,0
NCT04315376,2,5c64bd0ade51921ba4fb2d6435b8baac76c676d36e3c1f16bb65e4b886da22bb,2
NCT05150743,1,6243eaf13ec2da831b289bbca6845fd20fd9eaf947fca6aa0baba398c6bae90e,2
NCT05752942,0,47262e655906091932464e33ef1614a570d84b7cbe0fa37a3b708e3d29777a55,0
NCT03592992,2,f969957017b62b75c778e0cb7f729aa6770eaa3816cf03cbc3de5b96b32557c9,2
NCT03971578,2,efb98d418dd37e97f2a22ed7c7bf6e66fe3f34057ba9aeb54a0fca7b7ab9edae,2
NCT04304807,0,8bbb67b11ba2a6a4a0aa2813fb67002b5ba569ff39b3d6cb3689c4507a7ec716,0
NCT04609254,0,af0230cac67faca68a0fec0a7585a05e9bab8fbfe5a2f2b63c08c1ea2f2b3a5f,2
NCT04416867,0,bf1362aed6f4aabe8705bda38b505626133505cdf7f1d9aa8ac2314c11d72ba4,0
NCT05172674,0,2bbe31aa724827566bdb43e6b91c255936b269dc13e6b853891ff8fbfbc95206,1
NCT03537937,2,290bfd36029841fdc2e0e39f65e8e2729f66a6d4c42e55b6db5669609be31b03,0
NCT05020054,0,9ad069d988425395763edd714f1960964fc9135f90eded6a28fe10695b850f29,2
NCT02680262,1,ca82e783a260019b5f31048848c255145786ed15205f6296a495b4dd270ab82d,2
