NCT number,label_M,IPD Description,label_IPD
NCT04155502,0,ee81dcd5203ec7d3e3ddd7afe80fab81095c3dea043aaed75c4691084bb62f99,0
NCT05685888,0,755fe67dccdb93cc457918f07cc9959efd6432142416b71ba4d22a382dec4403,2
NCT03679793,2,97f8fd61f3e9d3cde1ceed5875074f68ca2faa5f8897156a4eb12ebd53bcea9f,2
NCT02918422,1,807d7b8fda37e6c9e2dfa0918e3602b897d235d61170894f884c0e9da2a453e2,0
NCT04522128,2,673f7cbbb90b94f8b3268d7fd2e45c3293983a70866441a904d32fd288205b1e,2
NCT03626337,0,a7da94bfc24a49a3c3f3adf6f364f5ed555b3df312447dba932f48a921a78c46,0
NCT04329013,2,9767a19dadc8467b9e3871285c05a49dcb07fdc6fd268cf732bc72cdc1f2caa4,2
NCT05332028,2,265170dddcf4902a88c622ed1d97e2cb48a3a7b2c91fd516f9710fe2209f06f3,2
NCT03950700,2,b16d22ded99996c9b1270a7cbd7fadc9e82b3d5f6e62362b5d48d69cab9c40a5,2
NCT04967534,0,5075671e93b8f1ae076abca9a3b98d36fe6157e3bdf6c3f5b83e763d7d5ac36a,0
NCT05150886,1,f05caf8ab9e4c8ed161f3f602e7e6e0bdb691ab2bbea6915654797178710d015,0
NCT03534167,0,002ba627ad467a1f4002ee968d8f4d892300e5ea21ed4b933c33a2b2d2f8facb,2
NCT03467087,2,c42b9584d5a6f1b0b512fd6f628d4c98e42f2c88c8d42dab7b4c633273b1b627,2
NCT04361227,1,ade6531f6193a5d8102b8b3c1e6b182bdee59724e69f35afaca13483174c9d31,1
NCT03301311,0,14b23840755c88fea2130a1f0eca32b09301110fde4c931570a396fd08bdf072,0
NCT00514046,0,88b04e2c064bc8845b6be0c493bcd5a61d51c753721fda5e3b45ddedd5ee98de,0
NCT05827705,1,19656060892cf84c116f9e2e7222aa9d049a8ffe9b545bd7dc7e6119d052c562,0
NCT02783066,0,c1c4d6a7bf90a509e3368fb423e01dffd47b6295bc6910e3eece951d63c24c10,1
NCT03673371,0,8ba619fa6774ef7e89e6e5c0f7d328122d1540f65bfb4cd80e0818a2895671d8,0
NCT00745056,0,1fc93d803744fc0a910a8458389c4723e6c8885e7d1d2567ed7614be14a7b42d,0
NCT05360355,0,52ac73f4ad1f4ad654b849d4365a4d6c157f24563ec1d3dfd01c61013f095bbc,2
NCT02281513,0,1315d2a3b6404a436f1d90d1e564590e94255bb3fb093db306601ba5338dc371,0
NCT02629614,2,6e8b70b24bf1295027ad951ea5720be3e5d0490dda7ee21ca4ef472b34695b8b,2
NCT04599374,2,51dc847ca4e3cfaafc2c29be4651dc45c3732fb742ce55a2672c933efc199e0d,2
NCT03183323,1,0ce7e63226b69c03ec2cfeb740a8a23acdc1fbd20f2a13e31d0fdfd4429a9ff9,1
NCT03514043,0,a802af159b822ac37539610da933620ba316f9b0162be3c86ee4582035db8a51,1
NCT03172884,1,f44f3957d8eb6eceb8281c78cf9ab573763e9887462319d012e6776930830b88,1
NCT04907877,1,9957534ce3df8047507cc7779b19e27924934edcb8031a1fb038de2bb2d31749,2
NCT04882748,0,25e19e8c0214571af258c1d249dfb0da32d992fb4d101ecce457ac9aa57c8b4e,0
NCT04188314,0,20435359700cba2db6e48f9810131452394e3c0cd8865da60b2267c7666933bc,0
NCT03401697,1,41f8fa30bf316acf5b023be69032c0dc85b0ffe5800b87222204e7cf3470e615,0
NCT02833441,0,74793dbf5c7fc538b8dee6d50b80cfe5859852939078e685cec72bac28e34eb5,2
